country,2014,2015,2016,2017,2018
Afghanistan,45.1,49.6,54.3,57.5,63.1
Angola,66.5,,,70.1,73.5
Albania,38.8,39,38.6,37.1,33.8
Argentina,19.2,25.9,32.3,35.8,35.8
Armenia,,,17.1,14.8,12.7
Australia,10.8,11.8,12.7,13.3,12.3
Austria,5.5,5.2,4.4,3.6,3
Azerbaijan,5.9,7.7,8.6,9.6,8.9
Belgium,,,,,3.7
Burkina Faso,41.8,43,42.9,42.8,47.9
Bangladesh,32.2,31.9,31.5,31.5,31.9
Bulgaria,14.9,13.6,12,12.5,13.2
Bosnia and Herzegovina,9.6,10.3,8.7,9.2,10
Brazil,18.3,21.5,21.8,20.6,23.5
Botswana,45.9,47.1,48.3,49.5,50.8
Central African Republic,,,,,81.3
Canada,5,5,5,5.1,5.8
Switzerland,4.8,4.2,3.1,2.6,2
Chile,10.8,12.2,13.7,15.3,17.9
Cameroon,,,,,55.8
"Congo, Dem. Rep.",,,,,69.2
"Congo, Rep.",82,85.3,87.9,88.2,88.3
Cape Verde,,,,36.4,35.1
Costa Rica,12.2,12.9,13.7,14.5,15.3
Czech Republic,5.8,5.1,3.9,3.8,4.2
Germany,4.1,3.8,3.6,3.5,3.4
Denmark,5.9,5.8,5.4,5.2,5
Algeria,22.9,21.5,19.7,17.6,17.6
Ecuador,20.7,23.3,26.2,29.2,32.7
Egypt,27.8,29.9,33.1,31.2,27.8
Spain,7.1,7.5,7.5,8.6,8.8
Estonia,9.5,8.3,8.2,7.4,7.9
Ethiopia,56.2,58.3,59.4,57.9,56.3
Finland,9.3,8.4,8.3,7.7,8
Fiji,,,,14.3,14.3
France,6.8,6.3,6.3,6,5.8
United Kingdom,6.3,6.1,5.6,4.9,3.9
Georgia,31.8,33.8,35.5,38.3,39.7
Ghana,49.3,49.6,49.8,50,50.2
Guinea,72.5,73.4,74.1,74.1,74.1
Gambia,52.7,52.7,52.7,54.3,56
Greece,15.8,16.4,16.6,13.3,8.6
Guatemala,42.7,44.2,43.5,45.2,49.7
Honduras,41.6,41.4,41.1,40.9,45.6
Croatia,6.5,6.9,7.8,10,11
Hungary,11.3,9.4,8.8,6.9,8.6
Indonesia,6,7.3,7.6,7,6.2
Ireland,8.9,7.2,6.6,7.2,8.3
Iran,48,45.3,42.4,40.6,42.5
Iceland,6.4,7.2,6.8,7.2,6.6
Israel,11,11.6,12.3,12.9,13.7
Italy,8.6,7.6,7.5,7.2,6.7
Japan,2.6,2.7,3.2,3.2,3.4
Kazakhstan,,,2.1,2.1,2.3
Kenya,53,56.6,60.4,64.3,68.5
Kyrgyz Republic,,,6.3,6.3,7
Cambodia,48.9,45.4,44.9,44.1,44.8
Kiribati,,,,40.9,40.9
South Korea,4.8,5,5.4,5.2,5.1
Kuwait,12.6,12.4,12.3,12.3,12.2
Lao,,,,,29.4
Liberia,,,,,80.6
Libya,29.1,30.9,33.2,35.7,37.4
St. Lucia,22.2,22.2,22.2,,
Lesotho,,,,,49.7
Lithuania,15.3,13.3,12.3,10.7,11.3
Luxembourg,4.7,4,3.3,3.3,3.1
Latvia,9.9,9.5,9.4,9.5,10.2
Morocco,,,,26.7,28
Moldova,19.3,21,24.6,27.5,27.2
Mexico,25.6,24.3,23,23,26.1
North Macedonia,15.1,13.7,14.3,14.4,17.7
Malta,5.9,5.6,5.1,4.4,4.3
Myanmar,,,,,22.2
Montenegro,12.6,11.3,12,12.9,13.5
Mongolia,21,25.7,27.1,27.5,26.2
Mozambique,,,,68.4,71.1
Mauritania,26.3,29.2,32.3,35.9,39.8
Mauritius,13,16.6,18.5,20.7,24.2
Malawi,81.9,81.9,81.8,81.8,81.8
Malaysia,17.4,15.1,15.1,15.1,18.7
Namibia,53.2,54.2,55.3,56.4,57.6
Nigeria,36.5,40.1,43.6,47.1,57.7
Netherlands,5.7,5.5,5.1,5.1,4.7
Norway,4.8,5,4.8,4.8,4.1
Nepal,29.5,31.2,31.6,33.8,36.4
New Zealand,10,11.3,13.3,13.9,14
Peru,37.2,42.6,42.9,44.9,47.8
Philippines,41.2,,,41.2,42.7
Poland,8.9,6.3,5.3,4.3,5.8
Portugal,14.7,13.2,11.6,10.7,11.5
Palestine,,,26.3,26.3,26.3
Romania,19.3,16.6,14.7,14.5,13.9
Russia,8.2,8.9,7.9,7.1,6
Sudan,41.4,43.9,46.4,48.9,49.4
Senegal,39.3,40.8,38,39.7,40.9
Singapore,2.8,3.1,4.1,4.7,4.5
Sierra Leone,78.4,79.2,79.9,80.6,83.9
El Salvador,42.2,41.6,41.6,42.2,47.1
Somalia,,,,,79.1
Serbia,11.4,12.8,12.5,12.4,12
South Sudan,85.1,,85.1,84.9,84.8
Slovak Republic,6.2,5.3,5,5,6
Slovenia,12.3,11.8,11.2,10.2,8.2
Sweden,4.5,5.3,5.4,5.7,5.3
Eswatini,62.6,62.6,62.6,63.3,64.1
Seychelles,14.3,14.3,14.3,,14.7
Thailand,15.1,19.7,24.8,26.4,29.8
Tonga,,,,23.2,23.2
Tunisia,18.2,19.4,20,22.1,25.1
Tanzania,,55,55,55,56.4
Uganda,58,60.7,63.4,66.3,69.2
Uruguay,21.6,23.4,25.1,23.2,23.5
United States,10.5,9.8,8.9,8.4,8
Uzbekistan,11.2,13.4,14.9,17.2,19.7
Vietnam,,,6.2,6.2,6.5
Vanuatu,,,,23.3,23.3
Samoa,,,23.6,23.6,23.6
South Africa,42.9,,,,44.9
Zambia,48.8,49.4,50.1,50.8,51.4
Zimbabwe,64.7,66.7,67,66.7,69.8
